latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-13.0448,134.1726,318.7,1.4,1.2,2022-04-01,100,Terra,MODIS,61,6.03,303.1,12,D,0
-16.8583,138.2086,319.1,1,1,2022-04-01,101,Terra,MODIS,51,6.03,305,5.1,D,0
-16.2147,130.2137,318.9,2.5,1.5,2022-04-01,101,Terra,MODIS,53,6.03,303.2,21.8,D,0
-16.1558,134.8987,326.3,1.2,1.1,2022-04-01,101,Terra,MODIS,64,6.03,308.9,11.8,D,0
-16.1486,134.9785,349.9,1.2,1.1,2022-04-01,101,Terra,MODIS,94,6.03,309.9,58.2,D,0
-16.1469,134.9675,333,1.2,1.1,2022-04-01,101,Terra,MODIS,77,6.03,310.3,20.4,D,0
-16.0914,134.9491,328.5,1.2,1.1,2022-04-01,101,Terra,MODIS,64,6.03,309.4,14.9,D,0
-16.0862,130.2444,334.1,2.5,1.5,2022-04-01,101,Terra,MODIS,83,6.03,304.1,84.9,D,0
-16.08,134.9397,349.4,1.2,1.1,2022-04-01,101,Terra,MODIS,93,6.03,310.7,57.8,D,0
-16.0792,130.2514,327.4,2.5,1.5,2022-04-01,101,Terra,MODIS,75,6.03,305,49.3,D,0
-16.0783,134.9288,339.3,1.2,1.1,2022-04-01,101,Terra,MODIS,86,6.03,309,33.2,D,0
-16.0767,129.5344,322.9,2.8,1.6,2022-04-01,101,Terra,MODIS,68,6.03,303.3,39.9,D,0
-16.0634,134.8976,327.2,1.2,1.1,2022-04-01,101,Terra,MODIS,70,6.03,308.3,12.7,D,0
-16.0267,130.4761,330.5,2.4,1.5,2022-04-01,101,Terra,MODIS,71,6.03,304.9,58.3,D,0
-15.9992,130.8548,320.7,2.2,1.4,2022-04-01,101,Terra,MODIS,54,6.03,305.3,22.4,D,0
-15.9901,130.9478,328.7,2.2,1.4,2022-04-01,101,Terra,MODIS,77,6.03,305.4,44.1,D,0
-15.9884,130.9421,324.7,2.2,1.4,2022-04-01,101,Terra,MODIS,47,6.03,305,26.9,D,0
-15.9289,131.0487,321.6,2.2,1.4,2022-04-01,101,Terra,MODIS,65,6.03,306.6,21,D,0
-15.9238,129.0395,322.9,3.1,1.7,2022-04-01,101,Terra,MODIS,69,6.03,301.8,58.2,D,0
-15.9221,129.0328,326.6,3.1,1.7,2022-04-01,101,Terra,MODIS,75,6.03,302.1,79.1,D,0
-15.9185,129.0111,318.7,3.1,1.7,2022-04-01,101,Terra,MODIS,57,6.03,301.5,37.2,D,0
-15.8818,129.9786,318.2,2.6,1.6,2022-04-01,101,Terra,MODIS,53,6.03,300.8,27.2,D,0
